Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[158.29108 158.01338 158.98517]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[179.86577 179.62761 180.15657]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[157.70998 157.061   157.47517]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[155.03352 154.42538 154.84793]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[150.92148 150.68135 151.0805 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[147.79753 147.95633 148.53366]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[161.47272 161.4204  161.528  ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[191.1272  191.00824 191.68867]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[187.34163 187.61159 188.23698]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[177.53271 178.2763  178.57806]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[187.34163 187.61159 188.23698]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[185.17157 185.42047 186.0724 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[181.5174  181.93639 182.48174]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[172.39893 173.3457  173.56775]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[173.92197 174.34047 174.41847]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[172.39893 173.3457  173.56775]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[172.39381 172.56793 173.03667]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[175.8634  175.75743 176.60403]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[152.91942 153.92682 154.3672 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[175.8634  175.75743 176.60403]], Reward:1
