Episode: 12, Policy: Exploitation, Action Index: 0, q values: [[206.82921 205.42168 202.5179 ]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[203.27028 201.92967 199.12761]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 0, q values: [[217.70465 216.29164 213.86172]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 0, q values: [[214.7267  213.33856 210.9931 ]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 0, q values: [[211.95895 210.59912 208.30533]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[208.83093 207.53183 205.27792]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[202.38992 201.76517 200.72314]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[199.34813 198.75793 197.76619]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[196.18758 195.61833 194.677  ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[213.38503 212.64809 210.48029]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[207.84952 207.89175 206.76726]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[198.05423 198.96623 198.61855]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[202.42245 202.70921 202.27718]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[192.55338 193.39069 194.0213 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[186.44995 188.02794 189.37758]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[229.05125 230.5606  230.59181]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[186.44995 188.02794 189.37758]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[198.31842 199.35857 199.607  ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[196.4413  198.68507 199.25255]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[202.3448  203.80077 203.68925]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[196.4413  198.68507 199.25255]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[202.3448  203.80077 203.68925]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[196.72942 199.29405 200.21568]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[198.63054 200.62102 201.47324]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[196.72942 199.29405 200.21568]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[198.63054 200.62102 201.47324]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[197.91316 199.96475 200.8905 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[196.28786 198.98027 199.93764]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[197.91316 199.96475 200.8905 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[196.28786 198.98027 199.93764]], Reward:1
