Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[175.47763 180.35782 179.798  ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[199.38919 204.59407 203.70229]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[196.20618 201.22972 199.52199]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[185.15767 190.76843 189.38191]], Reward:-3
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[171.49075 175.66493 175.69249]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[185.35767 190.90617 189.3225 ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[171.49075 175.66493 175.69249]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[185.35767 190.90617 189.3225 ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[172.36229 176.3956  176.2244 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[202.97197 208.00952 205.7407 ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[172.36229 176.3956  176.2244 ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[202.97197 208.00952 205.7407 ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[203.28218 207.87822 205.79472]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[211.78195 216.01627 214.08397]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[203.28218 207.87822 205.79472]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[211.78195 216.01627 214.08397]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[191.63414 195.2162  192.27463]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[174.00618 177.64014 175.41656]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[170.72734 174.37943 172.2368 ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[173.08582 176.23172 173.91533]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[180.15894 183.69513 180.95235]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[176.19487 179.60791 177.73853]], Reward:-3
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[197.18555 200.708   198.22482]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[194.42339 197.91043 195.48923]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[201.87776 205.47362 201.6808 ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[192.52711 196.6368  193.39655]], Reward:1
