Episode: 14, Policy: Exploration, Action Index: 1, q values: [[180.448   178.30441 179.708  ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[204.10454 200.6254  203.48618]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[177.71176 175.01878 177.73064]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[183.43535 180.38934 182.5155 ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[177.71173 175.01875 177.73064]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[183.6248  179.81424 183.76637]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[177.79301 174.36081 178.8445 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[183.6248  179.81424 183.76637]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[179.82999 175.64134 179.59451]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[179.41823 174.9201  179.86342]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[174.73155 170.9015  175.90208]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[171.1924  167.526   172.48586]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[187.94368 183.415   188.3135 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[188.91438 184.14543 189.13751]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[225.3599  219.69861 226.2365 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[212.57088 207.79402 213.62743]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[216.89336 211.41614 217.12479]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[208.401   202.80197 209.34525]], Reward:-3
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[204.64505 200.49284 205.97679]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[227.62048 221.71814 227.7695 ]], Reward:-3
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[212.98972 207.36597 213.85602]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[192.93784 188.06847 193.79985]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[220.20172 214.51817 221.0596 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[192.93784 188.06847 193.79985]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[199.61731 194.7199  200.1616 ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[195.9834  191.34175 196.15846]], Reward:-3
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[189.44293 185.66063 190.46265]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[207.20685 202.5013  207.17337]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[203.12218 198.54982 203.14911]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[250.82045 245.9545  251.40749]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[237.31155 233.29056 238.07675]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[232.9873  229.14626 233.8995 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[236.60709 231.93939 236.58209]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[235.65276 231.76727 235.36023]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[232.12689 228.32628 231.8999 ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[247.11794 242.78282 246.91098]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[244.41232 240.14137 244.24335]], Reward:1
