Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[204.78566 203.89589 204.03604]], Reward:-3
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[201.15425 200.34555 200.52762]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[205.82172 204.6272  204.14124]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[203.30043 202.16757 201.75597]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 2, q values: [[204.33273 204.35127 204.36604]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[200.762   200.14777 200.03064]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[197.4479  196.86739 196.7772 ]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[194.24295 193.691   193.65562]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[203.4032  204.56844 205.0094 ]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[198.32532 198.87366 199.1996 ]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 2, q values: [[197.86133 199.13829 199.72159]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 2, q values: [[212.69788 213.64555 213.732  ]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[271.82098 274.94934 275.74036]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 2, q values: [[216.38293 218.97107 219.23198]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 0, q values: [[271.82098 274.94934 275.74036]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 2, q values: [[269.67615 272.79297 273.6063 ]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[258.86484 264.40414 264.10733]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[272.98502 278.36105 278.35883]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[217.0263  221.40881 221.00444]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[272.98502 278.36105 278.35883]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[219.41292 225.43062 224.21315]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[206.43675 212.50777 211.87779]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[219.41292 225.43062 224.21315]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[275.92166 283.35767 282.33856]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[221.31725 228.32751 226.36848]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[208.4059  215.42418 214.09442]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[206.96397 213.1677  211.66296]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[214.7118  221.66217 220.13213]], Reward:-3
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[201.0494  207.6734  205.99243]], Reward:-3
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[237.79169 245.32199 243.34274]], Reward:-3
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[269.0428  277.25436 273.9612 ]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 1, q values: [[254.50458 262.98038 260.45035]], Reward:-3
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[229.39816 236.62155 235.32014]], Reward:-3
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[271.07602 279.0155  275.12033]], Reward:-3
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[267.77676 276.25537 272.69537]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[271.07602 279.0155  275.12033]], Reward:1
