Episode: 2, Policy: Exploration, Action Index: 2, q values: [[0.43679175 0.375115   0.20437764]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[0.5343311  0.47531393 0.25384378]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[0.43678883 0.37511536 0.2043818 ]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[0.53806984 0.48734483 0.33119267]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[0.6504788  0.5984707  0.44951403]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[0.61938703 0.6290602  0.45160493]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[0.5905152 0.5944414 0.4328091]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[0.64346063 0.57416856 0.4307004 ]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[0.77090305 0.6891729  0.5466428 ]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[0.748802   0.683597   0.52297086]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[0.72244763 0.6981191  0.5574915 ]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.748802   0.683597   0.52297086]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[0.8814228 0.7986347 0.6675242]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.68903124 0.6202466  0.5167319 ]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.6346636  0.59605575 0.49002168]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.6082136 0.5610546 0.4615028]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[0.7126682  0.6506592  0.55579096]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.88424075 0.7997658  0.7276426 ]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.86678    0.7603705  0.69390625]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.8119121  0.72807455 0.65884244]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.92125577 0.8286814  0.77392834]], Reward:-3
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.8617426  0.7740607  0.74554914]], Reward:-3
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.8199648 0.7382804 0.7100207]], Reward:-3
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[0.7844107  0.70497936 0.66510385]], Reward:-3
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[0.8886422  0.8360485  0.79589635]], Reward:-3
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[0.8348739  0.79777205 0.7702973 ]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[1.267425  1.2562112 1.0409782]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[1.0368067 0.9894202 0.9311004]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 0, q values: [[1.1779916 1.1480615 1.0902598]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[1.1272161 1.0926192 1.0332396]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[1.0704734  1.0494895  0.99059206]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[1.2409416 1.2640307 1.1262723]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[1.3937578 1.4367533 1.2752173]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[1.2221048 1.2022525 1.1342372]], Reward:1
