Episode: 21, Policy: Exploration, Action Index: 0, q values: [[230.76552 232.84131 232.09048]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[227.41986 229.53552 228.84235]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 2, q values: [[247.00938 248.26102 247.37878]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[226.8227  228.93826 228.23775]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[246.84735 248.10988 246.79349]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 0, q values: [[253.21396 254.46933 252.24167]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[249.6553  250.93141 248.74184]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 0, q values: [[243.83765 245.93694 244.32047]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 2, q values: [[239.91547 241.54625 240.42464]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 1, q values: [[244.44736 245.18175 243.49399]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[239.91547 241.54625 240.42464]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 2, q values: [[199.12021 200.92259 201.16472]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 2, q values: [[239.35808 240.2894  239.57751]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[243.91545 243.94154 242.67197]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[239.35808 240.2894  239.57751]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 0, q values: [[198.63911 199.85876 200.43776]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 2, q values: [[193.74487 194.74208 195.73419]], Reward:1
Episode: 21, Policy: Exploration, Action Index: 0, q values: [[236.88531 237.31856 237.10686]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[236.30489 236.7049  236.4758 ]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 2, q values: [[192.3312  193.60533 194.25386]], Reward:1
Episode: 21, Policy: Exploitation, Action Index: 1, q values: [[235.61786 235.92018 235.86217]], Reward:1
