Episode: 26, Policy: Exploration, Action Index: 2, q values: [[123.748344 122.464874 123.56117 ]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[148.84631 146.9056  147.79474]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[138.07446 136.16658 136.99164]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 0, q values: [[129.81163 127.88161 128.7832 ]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[127.126144 125.26944  126.17678 ]], Reward:-3
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[123.97969  122.243774 123.15105 ]], Reward:-3
Episode: 26, Policy: Exploration, Action Index: 1, q values: [[121.06918 119.45862 120.39678]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 1, q values: [[91.55719 90.1535  91.34794]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[122.04412  119.94745  121.123215]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[118.96373 117.00789 118.18887]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[115.93131  114.098694 115.26931 ]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[112.49428  110.772896 111.937675]], Reward:-3
Episode: 26, Policy: Exploration, Action Index: 2, q values: [[109.53643  107.936066 109.09543 ]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 2, q values: [[86.53773  86.005585 87.160576]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 0, q values: [[94.12958 93.16987 93.77842]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 2, q values: [[94.12846 93.21601 93.87213]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[123.73547  121.08178  121.896225]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[120.930374 118.36718  119.18793 ]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 2, q values: [[118.0147   115.565346 116.40111 ]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[115.15282 113.49941 114.38473]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[113.95975  112.302704 113.17088 ]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[108.992714 107.59995  108.489426]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[105.52484 104.28404 105.18248]], Reward:-3
Episode: 26, Policy: Exploration, Action Index: 1, q values: [[106.65607  105.98228  106.564285]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 0, q values: [[112.73911  111.312935 111.788704]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 0, q values: [[109.045876 107.72675  108.22019 ]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 1, q values: [[105.69514 104.50516 105.02559]], Reward:1
Episode: 26, Policy: Exploration, Action Index: 1, q values: [[106.492485 106.43301  106.7803  ]], Reward:1
Episode: 26, Policy: Exploitation, Action Index: 2, q values: [[115.58884  115.86531  116.319885]], Reward:1
