Episode: 28, Policy: Exploration, Action Index: 0, q values: [[93.484665 92.01312  91.62808 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[91.28308  89.906204 89.566025]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[109.80927 107.42916 106.90524]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[105.54224  103.192856 102.98221 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[88.14678 86.93672 86.78161]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[86.15298 85.04561 84.90891]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[85.64221 84.54473 84.39561]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[82.19942 81.33533 81.43715]], Reward:-3
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[80.38313 79.67922 79.78225]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[79.78567  79.172615 79.258545]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[73.215195 72.25734  72.03558 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[69.71204  68.873505 69.02284 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[73.20946 72.70586 73.24131]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[69.71204  68.873505 69.02284 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[67.17737 66.49205 66.64983]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[66.41467  66.083466 66.84362 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[66.21764  65.58062  65.914024]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[66.41467  66.083466 66.84362 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[66.21764  65.58062  65.914024]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[98.03233 95.89707 96.53102]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[95.308914 93.26889  93.918   ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[92.52955  90.579544 91.24305 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[89.89542 88.04806 88.71397]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[86.35694 84.81341 85.55334]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[72.88601 72.45796 73.28602]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[86.35694 84.81341 85.55334]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[76.38844  75.484116 76.30659 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[73.18711 72.62851 73.3959 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[91.137405 89.888374 90.624214]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[132.05844 129.81146 130.63782]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[130.08736 127.88103 128.71214]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[128.0503  126.28196 126.78694]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[125.77837 124.04016 124.53446]], Reward:-3
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[123.77369 122.05547 122.51158]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[121.36052 119.67081 120.11766]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[119.610016 118.14443  118.456604]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[81.25457  80.80287  81.269005]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[119.610016 118.14443  118.456604]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[81.25457  80.80287  81.269005]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[119.63359  118.414444 118.555405]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[81.24032 80.95834 81.30706]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[119.63359  118.414444 118.555405]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[117.69134  116.498566 116.61455 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[79.45276 79.32722 79.58292]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[117.50953  116.488205 116.48917 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[112.109245 111.23245  111.40326 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[108.45348 107.6936  107.90578]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[106.595665 106.2334   106.336876]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[120.77572 120.13536 120.03553]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[118.0875  117.45872 117.40621]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[102.97472 102.77853 102.93181]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[99.69252 99.7504  99.82207]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[113.82208  113.460396 113.30217 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[111.46229  111.13714  110.996544]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[109.03408 108.75512 108.63599]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[105.13898 105.07287 104.65452]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[102.657036 102.641815 102.25827 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[91.80457 92.31409 92.186  ]], Reward:1
